ansin,bíonn,síos,hÉireann
gceist,teanga,leabhar,léi
gach,seisean,ní,cé
níor,uile,bhaile,b'fhéidir
lámh,bean,gceist,as
cad,rá,lámh,ná
lá,díreach,chuir,thar
thar,go,bhaint,muid
chuir,éigin,dhuine,ach
nár,ina,bhaile,bíonn
tháinig,gurb,átha,bhíonn
san,uirthi,seán,ní
chun,muid,bliain,arsa
chaith,réir,ar,duine
tháinig,siúd,amháin,atá
beidh,fhios,cheann,den
gceist,rá,saol,níl
chéad,mór,chuid,na
idir,uaidh,orm,inniu
dhéanamh,leithéid,ab,fháil
den,leabhar,le,ar
fhios,tú,ábhar,féidir
roimh,b'fhéidir,tar,den
ábhar,istigh,tháinig,bhain
fáil,déanta,átha,oiread
dar,tú,tríd,dhiaidh
na,cuid,tharla,ó
linn,bheadh,i,mbeadh
aon,uirthi,liom,lá
idir,bharr,air,méid
má,iarraidh,ó,lae
éigin,lán,beag,obair
ndiaidh,níos,gur,ndóigh
baint,tír,lán,atá
dhiaidh,gur,suas,tír
í,alt,beag,arsa
fada,bhean,féidir,bhaint
lámh,rá,freisin,ba
go,cúpla,uaidh,liom
oiread,bheadh,eile,baile
nuair,beag,caint,bith
baile,in,leabhar,go
mo,más,alt,léir
déanamh,idir,go,fad
má,thar,idir,mbaile
uile,ceart,léir,beag
chuige,nua,deir,beag
cinn,do,lámh,agat
ndiaidh,fíor,ba,tíre
uile,cúpla,go,ach
bhliain,méid,bean,leat
leithéid,aige,mó,teanga
chuige,bharr,nach,cad
Gaeilge,í,fad,orm
níl,de,aon,arsa
dar,mé,don,ndiaidh
riamh,aige,agat,nua
Éirinn,méid,thart,Gaeltachta
ábhar,bhaile,láthair,rá
fearr,ábhar,le,air
gach,siúd,leor,oibre
sé,nár,mó,muid
duine,sásta,mo,an
di,amháin,gan,suas
dhéanamh,alt,siar,déanamh
tí,isteach,bhliain,gcuid
roimhe,ní,bhíodh,roinn
isteach,dé,mo,seisean
cuireadh,lch.,lán,tíre
léir,agam,saol,dhéanamh
acu,thaobh,eile,déanta
don,dá,céanna,nuair
agus,anois,uair,eile
leanas,muid,isteach,chuir
mbeadh,chur,le,ní
eile,dhaoine,ann,timpeall
thart,leabhar,freisin,cuireadh
di,ár,baile,dara
súil,nó,fuair,dhéanamh
roimhe,muid,bliana,lá
ábhar,linn,í,déanta
leor,í,chur,bheidh
fear,dé,dhéanamh,feadh
arsa,lena,minic,bhí
faoi,minic,sásta,acu
mbeidh,tíre,nó,níos
cinn,níor,dhuine,léi
amháin,ár,muid,gurb
siar,inniu,thug,anuas
mbeadh,léir,leat,mór
bhfad,leor,am,fada
éigin,siúl,mé,bhíonn
scoil,amuigh,mór,nós
tá,mórán,leanas,dar
de,bhaint,amach,daoine
ansin,leabhar,hÉireann,mhaith
liom,trí,beag,deireadh
mbaile,beag,nár,leat
céanna,tíre,chaith,liom
chun,ea,deir,mise
do,bhean,beag,ansin
dúirt,mó,sna,leis
mó,cinnte,tharla,gurb
roimh,leanas,dhuine,fearr
ort,dúirt,oiread,méid
amach,daoine,nach,cuid
oíche,lán,seán,mac
orthu,bhfuil,chun,láthair
sásta,maith,sí,iarraidh
fháil,rá,orthu,cuid
áirithe,dhaoine,ag,fáil
bhfuil,ábhar,tar,deireadh
mbíonn,súil,rud,ndiaidh
roimhe,féin,fós,faoin
cúpla,riamh,bheadh,cur
lae,lena,Éirinn,ag
roimhe,orm,fearr,fuair
fós,gceist,deireadh,alt
dhaoine,deireadh,teanga,ábhar
mór,linn,os,lae
daoine,tí,bhfad,bheith
teacht,dhuine,rith,bliana
tar,le,eolas,ar
uile,uisce,bliain,leat
chuid,bith,níor,cuireadh
eolas,mbíonn,bharr,leith
duine,is,thart,le
orm,teanga,Éirinn,alt
mórán,aige,nár,éigin
beidh,teanga,chuige,leis
á,de,nuair,nár
ba,níor,gcuid,sa
cheana,gach,síos,daoine
bhfad,cé,rialtas,ndóigh
linn,mo,mbeadh,oibre
mór,agus,lena,thug
dar,tá,anuas,sa
ais,baint,nó,liom
céard,leithéid,Ghaeilge,thar
Gaeilge,más,déanamh,mhór
mac,freisin,thug,ní
ár,raibh,Irish,saol
aige,déanamh,gach,leis
caite,faoi,arsa,bhí
lena,uair,lá,cheart
chuid,chuir,timpeall,thart
caint,beidh,rá,againn
bhain,lch.,cheart,dó
leis,roinnt,na,gan
cén,againn,bhain,fearr
céard,áit,arsa,caite
Irish,istigh,sin,tharla
ab,cuireadh,orthu,fháil
tír,fiú,chuig,ár
seisean,léir,orm,thabhairt
cúpla,ansin,isteach,fáil
fíor,atá,caite,tharla
gcónaí,teach,uair,tar
gan,déanamh,sí,gcuid
bliain,go,roimh,ainm
díreach,méid,bhíonn,sa
bheidh,riamh,á,i
as,mac,tháinig,de
anois,scoil,cliath,amuigh
éigin,den,fad,céanna
dul,nach,bhfad,bhean
cé,roimh,uirthi,siad
súil,nach,lá,bhain
chuaigh,thart,don,nach
dó,scéal,eile,seo
minic,oibre,dhéanamh,sna
mbíonn,bhaint,uair,fáil
deireadh,amháin,shin,iarraidh
anois,cad,fós,mac
í,bíonn,ba,fada
duit,feadh,roinnt,tú
lucht,bhaile,iad,fearr
dhuine,cén,ais,uile
bhaint,sí,idir,sin
seisean,bhí,am,maith
roimh,tí,oibre,fíor
don,ábhar,tháinig,uaidh
mé,den,tír,seán
chomh,roinnt,gurb,fad
chomh,féin,lár,bliana
bhain,Éirinn,dhiaidh,sé
fíor,ab,arsa,saol
ár,éigin,úsáid,ab
ábhar,ceart,dhiaidh,liom
chuid,bhíodh,teacht,ndóigh
bheadh,de,deir,leanas
bliain,i,leanas,chuir
thaobh,taobh,féin,gur
dul,sásta,hÉireann,áirithe
féin,is,agam,lámh
fear,uí,na,ort
i,dó,nó,uile
iarraidh,cur,bhfad,anuas
scoil,mó,caint,má
lá,beidh,hÉireann,ansin
iarraidh,dúirt,chéile,agat
rinne,riamh,baile,am
tar,amháin,mise,dtí
amuigh,ár,leabhar,alt
níor,ort,cheart,os
de,réir,áirithe,uile
bhíodh,fháil,dtí,mór
daoine,taobh,réir,don
uí,agus,siar,don
déanamh,Gaeilge,orm,fuair
obair,nár,rinne,fáil
lucht,seisean,leith,céanna
dara,beidh,thaobh,siúl
céanna,in,iarraidh,tháinig
déanta,leat,tí,lár
mo,sna,thaobh,chuig
ar,éigin,fíor,níl
caite,chuaigh,roinnt,fháil
bhíonn,átha,díreach,léir
obair,cinn,freisin,aon
ina,sin,trí,leat
obair,arsa,seán,dtí
anois,roimh,siad,uair
mhaith,mo,raibh,nua
alt,tír,bhain,bhean
bith,réir,lucht,feadh
le,linn,amach,cheann
féidir,ach,arsa,í
cheart,den,anseo,ní
bhfad,ábhar,mhaith,baile
dóibh,ais,air,san
sásta,dara,baile,uirthi
bliana,cinnte,nuair,uisce
seo,uí,fíor,Gaeilge
agam,leithéid,nach,oiread
cliath,uile,seán,roimh
sa,sna,muid,teacht
méid,ceart,leanas,siúd
tír,de,ab,raibh
mbíonn,uisce,siúl,ab
tar,dara,céard,taobh
orthu,uirthi,rinne,aige
lán,agam,níl,don
dá,iad,anseo,teach
mo,leanas,bheadh,shin
cheann,siad,bheith,shin
uile,gach,arís,den
b'fhéidir,dúinn,rud,deir
níos,go,riamh,siad
éigin,thabhairt,sásta,istigh
bhean,léir,sé,beidh
dóibh,aige,é,seán
oiread,tú,measc,sásta
ba,ansin,de,é
shin,amach,mise,aon
air,bith,aon,ceart
áit,uile,mórán,is
gurb,mo,tháinig,deir
bhean,den,réir,lae
Irish,leabhar,ar,níos
de,thaobh,bliana,beidh
teacht,aon,ndóigh,bhain
mór,cad,mbaile,fad
rith,i,céanna,dúirt
mise,átha,dom,ann
